"stressor","explanatory_var","response_var","pval_shape","pval","effect","pval_signif","conf_high","conf_low","expl_dev"
"Conductivity","hirsh_pearson_lvl7","thr_day",21,0,0.509224030802197,TRUE,0.525639737034862,0.492856246194931,0.0437984624004675
"Dissolved_Oxygen","hirsh_pearson_lvl7","thr_day",21,0,0.644375377494566,TRUE,0.669841527632943,0.61898754959366,0.0596174406248997
"pH","hirsh_pearson_lvl7","thr_day",19,0.00117152906523129,-0.0417917815555457,FALSE,-0.0165986559763609,-0.0670754079242543,0.000226477972310621
"Dissolved_Chloride","hirsh_pearson_lvl7","thr_day",21,8.08830536637521e-305,1.89634276339938,TRUE,1.99812983847178,1.79879510418769,0.392474041863546
"Nitrate","hirsh_pearson_lvl7","thr_day",21,2.30042548469015e-166,-0.766862145213467,TRUE,-0.712852843558305,-0.82224325014405,0.0284783104246982
"Turbidity","hirsh_pearson_lvl7","thr_day",21,8.13752529521407e-128,0.254676264839959,TRUE,0.275420891657721,0.233911198148822,0.00870738371706218
"Total_Phosphorous","hirsh_pearson_lvl7","thr_day",21,1.43998685294204e-10,0.195920162680333,TRUE,0.255335489126256,0.135527681105043,0.0017150011504523
"Total_Dissolved_Solids","hirsh_pearson_lvl7","thr_day",21,0,-2.51486569582234,TRUE,-2.41587509729636,-2.61602625519499,0.134184930890314
"Conductivity","theobald_lvl7","thr_day",21,0,0.631237070975903,TRUE,0.64709951992951,0.615422140727265,0.0734110791862915
"Dissolved_Oxygen","theobald_lvl7","thr_day",21,0,0.531232599148553,TRUE,0.554457573300591,0.50803396104276,0.0463229798428461
"pH","theobald_lvl7","thr_day",21,3.58586501419598e-113,-0.3273555223953,TRUE,-0.29911282680639,-0.355873927960573,0.0121515312988521
"Dissolved_Chloride","theobald_lvl7","thr_day",21,0,1.71657844497422,TRUE,1.80360421580084,1.63239966427784,0.372675417295373
"Nitrate","theobald_lvl7","thr_day",21,1.08078509907458e-77,-0.423782895976767,TRUE,-0.379752483108845,-0.468801261707428,0.0110839794832972
"Turbidity","theobald_lvl7","thr_day",21,1.73073667770375e-205,0.342080799846955,TRUE,0.36400271369488,0.320163220421423,0.0141448164550656
"Total_Phosphorous","theobald_lvl7","thr_day",19,0.0029036205666655,0.101026776786896,FALSE,0.166858437180808,0.0338320800888017,0.000378886363766648
"Total_Dissolved_Solids","theobald_lvl7","thr_day",21,0,-2.12270659314305,TRUE,-2.01619467450242,-2.23137405245229,0.071754338357944
"Conductivity","hirsh_pearson_lvl12","thr_day",19,0.234858798077791,0.00862323494266538,FALSE,0.022845152003228,-0.0056099885805013,1.55385449072006e-05
"Dissolved_Oxygen","hirsh_pearson_lvl12","thr_day",21,0,0.748526122361014,TRUE,0.77609393541771,0.720993564485985,0.0653207427102192
"pH","hirsh_pearson_lvl12","thr_day",21,5.60000139401114e-59,-0.215014190512882,TRUE,-0.18909972829214,-0.24114965930043,0.00599906872048721
"Dissolved_Chloride","hirsh_pearson_lvl12","thr_day",21,5.06421944231025e-266,1.18227739980868,TRUE,1.24907389714866,1.11601909875445,0.199620744776077
"Nitrate","hirsh_pearson_lvl12","thr_day",21,2.95377813742715e-221,-0.921109474803134,TRUE,-0.864756440466955,-0.978494319172973,0.0368227355185528
"Turbidity","hirsh_pearson_lvl12","thr_day",21,6.36673927693488e-282,0.348143339866389,TRUE,0.367164597070053,0.329127814635399,0.0195067999763534
"Total_Phosphorous","hirsh_pearson_lvl12","thr_day",19,0.723217653898981,-0.00864280559380405,FALSE,0.0387237757489189,-0.0569547554111682,5.55096712071102e-06
"Total_Dissolved_Solids","hirsh_pearson_lvl12","thr_day",21,0,-2.58906005000505,TRUE,-2.49566093233892,-2.68379751093567,0.133710756742915
"Conductivity","theobald_lvl12","thr_day",21,5.0700643175765e-202,0.21649448485781,TRUE,0.230490152049335,0.202506684499469,0.0101723864365368
"Dissolved_Oxygen","theobald_lvl12","thr_day",21,0,0.68129080367417,TRUE,0.70811590054176,0.654511561542629,0.0579457077994577
"pH","theobald_lvl12","thr_day",21,1.36453178966822e-193,-0.443974419521263,TRUE,-0.414823729858434,-0.473462959870057,0.0222620475010614
"Dissolved_Chloride","theobald_lvl12","thr_day",21,7.38353449322555e-277,1.35113807471781,TRUE,1.42620137484801,1.27716323906573,0.230318813332121
"Nitrate","theobald_lvl12","thr_day",21,9.05379535677949e-50,-0.305217585391364,TRUE,-0.265155788795262,-0.345827121730973,0.00630019109363145
"Turbidity","theobald_lvl12","thr_day",21,2.33225547903143e-194,0.298381594808087,TRUE,0.318040437015141,0.278710561009051,0.0133095270937525
"Total_Phosphorous","theobald_lvl12","thr_day",19,0.00356583924836404,-0.0759486541609962,FALSE,-0.0253667570189306,-0.127543335256945,0.000385642167346757
"Total_Dissolved_Solids","theobald_lvl12","thr_day",21,8.69651659423246e-202,-1.06289585178885,TRUE,-0.994538917374217,-1.13201077793694,0.0321786849279537
"Conductivity","hirsh_pearson_lvl7","thr_month",21,0,0.506770506552145,TRUE,0.523101618770721,0.490486551809151,0.0435091811408455
"Dissolved_Oxygen","hirsh_pearson_lvl7","thr_month",21,0,0.602685635548623,TRUE,0.628969006738744,0.576473109283485,0.0515499432000441
"pH","hirsh_pearson_lvl7","thr_month",21,2.60640107661266e-11,-0.0911345498355501,TRUE,-0.0643973894904303,-0.117988061418445,0.0010393762443657
"Dissolved_Chloride","hirsh_pearson_lvl7","thr_month",21,1.26488629994937e-290,1.96792153601881,TRUE,2.0763519409924,1.86444331305026,0.409331003149558
"Nitrate","hirsh_pearson_lvl7","thr_month",21,3.25194059405855e-169,-0.770249979199898,TRUE,-0.716463114657618,-0.825394250504309,0.0288383031137912
"Turbidity","hirsh_pearson_lvl7","thr_month",21,5.89193534938019e-101,0.224319053073397,TRUE,0.244919842076065,0.203695267220521,0.00672200263673007
"Total_Phosphorous","hirsh_pearson_lvl7","thr_month",21,1.13955340160869e-12,0.216081688152467,TRUE,0.275166418850203,0.156051144756599,0.00210867228076757
"Total_Dissolved_Solids","hirsh_pearson_lvl7","thr_month",21,0,-2.50960004398465,TRUE,-2.41055033024324,-2.61082256463006,0.133595269670445
"Conductivity","theobald_lvl7","thr_month",21,0,0.62963589193868,TRUE,0.645438786391931,0.613880191351574,0.0731203798777421
"Dissolved_Oxygen","theobald_lvl7","thr_month",21,0,0.491372482329582,TRUE,0.515458086997092,0.467301914734346,0.0389251399035122
"pH","theobald_lvl7","thr_month",21,1.12617947783269e-146,-0.410119974038961,TRUE,-0.379128181271011,-0.441466273383868,0.0176916146931613
"Dissolved_Chloride","theobald_lvl7","thr_month",21,0,1.76768105759194,TRUE,1.85877754462435,1.67983254521316,0.387872133642168
"Nitrate","theobald_lvl7","thr_month",21,9.00923278383334e-80,-0.42848063044158,TRUE,-0.384557816983346,-0.473383805012742,0.0113467181251237
"Turbidity","theobald_lvl7","thr_month",21,7.34734735610323e-179,0.316837311236058,TRUE,0.338616551004838,0.295061340495963,0.0120609898324797
"Total_Phosphorous","theobald_lvl7","thr_month",21,0.000513672355084695,0.117264920261486,TRUE,0.182782736355994,0.0504129822653909,0.000515154595520155
"Total_Dissolved_Solids","theobald_lvl7","thr_month",21,0,-2.11254478388777,TRUE,-2.0061094876397,-2.22113746073363,0.0711876775062658
"Conductivity","hirsh_pearson_lvl12","thr_month",19,0.288991455541651,0.0076630653031003,FALSE,0.0218225135697392,-0.00650719371019439,1.22995924671893e-05
"Dissolved_Oxygen","hirsh_pearson_lvl12","thr_month",21,0,0.657303593287398,TRUE,0.685764946583609,0.628849930126134,0.0494650683257625
"pH","hirsh_pearson_lvl12","thr_month",21,9.7542417574285e-96,-0.302752268002568,TRUE,-0.274311200736505,-0.331477092680726,0.0110092879969265
"Dissolved_Chloride","hirsh_pearson_lvl12","thr_month",21,5.41821844860465e-269,1.20829961841235,TRUE,1.27622809896544,1.14100154793926,0.20908114657711
"Nitrate","hirsh_pearson_lvl12","thr_month",21,1.17086302612811e-229,-0.942800235845167,TRUE,-0.886191221613458,-1.00043961230775,0.0382796370281304
"Turbidity","hirsh_pearson_lvl12","thr_month",21,2.41699563860082e-242,0.320306953846355,TRUE,0.339193469918562,0.30142462832737,0.0164211750403242
"Total_Phosphorous","hirsh_pearson_lvl12","thr_month",19,0.147434297707841,0.0345271385417105,FALSE,0.0808149847273575,-0.0126306659615654,9.16393642297161e-05
"Total_Dissolved_Solids","hirsh_pearson_lvl12","thr_month",21,0,-2.6014981799209,TRUE,-2.50765263707114,-2.69669256322001,0.134306241467928
"Conductivity","theobald_lvl12","thr_month",21,4.75864282219836e-202,0.215647162041855,TRUE,0.229587207119633,0.201715184743371,0.010110306768465
"Dissolved_Oxygen","theobald_lvl12","thr_month",21,0,0.59787150259596,TRUE,0.625560761857472,0.570206210554514,0.0439019182946171
"pH","theobald_lvl12","thr_month",21,3.67650935561518e-245,-0.566495224922445,TRUE,-0.533515894900051,-0.59993100146374,0.0324504049312482
"Dissolved_Chloride","theobald_lvl12","thr_month",21,1.91417713517582e-278,1.38763024240414,TRUE,1.46457110946962,1.31193882730653,0.242026953861363
"Nitrate","theobald_lvl12","thr_month",21,4.16346739636526e-53,-0.315756472639537,TRUE,-0.275681946774468,-0.356379307367777,0.00672674848098931
"Turbidity","theobald_lvl12","thr_month",21,5.86494674599664e-170,0.276820551118823,TRUE,0.296339482844524,0.257290028376821,0.0114098666948318
"Total_Phosphorous","theobald_lvl12","thr_month",19,0.0546758430019564,-0.0494515651409911,FALSE,0.00051321138083121,-0.100390227276008,0.000166564280854231
"Total_Dissolved_Solids","theobald_lvl12","thr_month",21,2.06244373585934e-202,-1.06795538063927,TRUE,-0.999381920398506,-1.13729264279334,0.0323877266066265
"Conductivity","hirsh_pearson_lvl7","thr_year",21,0,0.557588786243692,TRUE,0.574024379805815,0.541204794842986,0.0521569521441117
"Dissolved_Oxygen","hirsh_pearson_lvl7","thr_year",21,4.0276603628686e-242,0.638378472433261,TRUE,0.676104063999335,0.600792687020084,0.0501750959568093
"pH","hirsh_pearson_lvl7","thr_year",21,1.5864245275238e-42,-0.212859547498208,TRUE,-0.182430109168667,-0.24348249663519,0.00521937178916144
"Dissolved_Chloride","hirsh_pearson_lvl7","thr_year",21,6.11554950487941e-316,2.04212569196199,TRUE,2.15001824172509,1.93918915191227,0.433743062402375
"Nitrate","hirsh_pearson_lvl7","thr_year",21,1.10773983858508e-160,-0.718036618781961,TRUE,-0.666545640084625,-0.770774305273041,0.0263556450619477
"Turbidity","hirsh_pearson_lvl7","thr_year",21,2.61733729911265e-89,0.205886727917148,TRUE,0.226023068907156,0.185743193515633,0.00565186933882584
"Total_Phosphorous","hirsh_pearson_lvl7","thr_year",21,1.28447165259233e-38,0.387949783980559,TRUE,0.446078014319202,0.329039452330015,0.00736700175265879
"Total_Dissolved_Solids","hirsh_pearson_lvl7","thr_year",21,0,-2.58232852994248,TRUE,-2.48549145058981,-2.68124371801141,0.143978942539953
"Conductivity","theobald_lvl7","thr_year",21,0,0.692623745908443,TRUE,0.70863995376131,0.676660559332294,0.0869891985631036
"Dissolved_Oxygen","theobald_lvl7","thr_year",21,3.01016214243408e-191,0.518259178968532,TRUE,0.552718508283999,0.483836246918783,0.0377737700077676
"pH","theobald_lvl7","thr_year",21,1.07918666921801e-244,-0.692292265569755,TRUE,-0.65201214908267,-0.733251458997229,0.039726833435171
"Dissolved_Chloride","theobald_lvl7","thr_year",21,0,1.81367961024501,TRUE,1.90266038986216,1.72783588126871,0.406680798586845
"Nitrate","theobald_lvl7","thr_year",21,1.3631184028075e-71,-0.391537416074823,TRUE,-0.349084228340182,-0.434880939538068,0.00984517065291423
"Turbidity","theobald_lvl7","thr_year",21,1.27205177312532e-171,0.305748302463704,TRUE,0.327219581021087,0.284301153136016,0.0110840994666346
"Total_Phosphorous","theobald_lvl7","thr_year",21,1.73638881503261e-17,0.281211330112769,TRUE,0.345415561122607,0.21585089989469,0.0032141557969997
"Total_Dissolved_Solids","theobald_lvl7","thr_year",21,0,-2.12649792740695,TRUE,-2.02405451260308,-2.23096539784436,0.0748104338551034
"Conductivity","hirsh_pearson_lvl12","thr_year",19,0.197443107611343,0.00924169893281824,FALSE,0.023290761565787,-0.00481696950572113,1.79676676761655e-05
"Dissolved_Oxygen","hirsh_pearson_lvl12","thr_year",21,1.25394852474008e-216,0.642570328178859,TRUE,0.682636870881241,0.602446795370915,0.0416396975548852
"pH","hirsh_pearson_lvl12","thr_year",21,5.72989751633336e-167,-0.490495061072167,TRUE,-0.455810829785487,-0.525633421316451,0.0244198299334288
"Dissolved_Chloride","hirsh_pearson_lvl12","thr_year",21,4.60711837217641e-301,1.23499355490328,TRUE,1.30062234006434,1.17004016408871,0.22001292061817
"Nitrate","hirsh_pearson_lvl12","thr_year",21,1.62494308957696e-241,-0.974096764809832,TRUE,-0.917070105344939,-1.03215343588189,0.0403804377851211
"Turbidity","hirsh_pearson_lvl12","thr_year",21,4.84787242550628e-216,0.297303603522895,TRUE,0.315886409587599,0.278737384230092,0.0139791769493474
"Total_Phosphorous","hirsh_pearson_lvl12","thr_year",21,8.91047380111201e-08,0.127304091429891,TRUE,0.173554758111609,0.0802182580733285,0.0013103041681046
"Total_Dissolved_Solids","hirsh_pearson_lvl12","thr_year",21,0,-2.77515351513015,TRUE,-2.68128131047913,-2.87036418519324,0.150813919255729
"Conductivity","theobald_lvl12","thr_year",21,7.17281552355375e-240,0.233896570412667,TRUE,0.24776264474201,0.220040462526963,0.0119161924079053
"Dissolved_Oxygen","theobald_lvl12","thr_year",21,2.89328147974764e-181,0.576699895867002,TRUE,0.616079478037599,0.53732616699647,0.0356081551704154
"pH","theobald_lvl12","thr_year",21,0,-0.933132863514454,TRUE,-0.887270156928314,-0.979901094441774,0.0640575920725666
"Dissolved_Chloride","theobald_lvl12","thr_year",21,8.22355172831409e-317,1.43711543716058,TRUE,1.51181666099724,1.36370235506234,0.261353119051646
"Nitrate","theobald_lvl12","thr_year",21,4.43111416591517e-49,-0.298652516588455,TRUE,-0.259158205453599,-0.338667746904347,0.00611095885037893
"Turbidity","theobald_lvl12","thr_year",21,5.50841124542193e-137,0.243231621028172,TRUE,0.262368077319816,0.224094233569368,0.0087430216180059
"Total_Phosphorous","theobald_lvl12","thr_year",19,0.0970992529282081,0.0428607679378882,FALSE,0.0930220675178988,-0.00826487457880056,0.000130451962779183
"Total_Dissolved_Solids","theobald_lvl12","thr_year",21,7.94722967370744e-251,-1.17405693306113,TRUE,-1.10639626505788,-1.2424540589224,0.0391106288605961
